mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
144.04286823272705,9.15100644552035,3.0939109325408936,3.8201116393193506,0.1,,l2,liblinear,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.9435937197131227,0.9476328502415459,0.9505103023300597,0.948021722265322,0.9524908636276207,0.9484498916355342,0.003000267930036887,1,0.953884784393259,0.9543279686820356,0.9530797451245414,0.952666441038534,0.9528274528757854,0.953357278422831,0.0006411705329560631
32.60932893753052,0.7736456680060949,0.581199312210083,0.20257206493187166,0.1,,l2,lbfgs,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9423860329776915,0.9476126039048908,0.9499229583975347,0.9486135350009696,0.9528574177410044,0.9482785096044182,0.003433586019600949,2,0.9538625054350451,0.9537985694954572,0.9520038628681796,0.9513126722429048,0.9521094089788817,0.9526174038040937,0.0010278371593884748
45.74449758529663,1.2099104412113209,0.7418304443359375,0.25674695331850106,0.1,,l1,liblinear,"{'C': 0.1, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.9433889104303994,0.9452293400425779,0.9519953730480046,0.9478985086190199,0.9497120921305182,0.947644844854104,0.003072868154892992,3,0.9503669370413287,0.9493212232474999,0.947800473224202,0.949147631235814,0.9488740697786798,0.9491020669055048,0.0008241517908710864
269.61375312805177,54.565418480016234,1.4795917510986327,0.44985884036773854,1,,l1,liblinear,"{'C': 1, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.9439071566731141,0.947103274559194,0.95,0.9445201479462721,0.9526741054251635,0.9476409369207488,0.003312626854373822,4,0.9566856811370009,0.9566478178918371,0.9559384199604266,0.9548617823313358,0.9551647502174123,0.9558596903076026,0.0007467752480587142
259.8903015613556,17.985717077514966,1.3435793399810791,0.2472450220614463,1,,l2,liblinear,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.9445196211096076,0.9447353112274578,0.947894635646991,0.9438815276695246,0.9510974201001156,0.9464257031507394,0.0027183121386135005,5,0.9586153548636628,0.957391304347826,0.9572187349106712,0.9569840502658289,0.9579669533288241,0.9576352795433625,0.0005878244691065583
48.531861782073975,8.467109489348475,0.5762192249298096,0.07662730910689915,1,,l2,lbfgs,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9443370699652107,0.9440464666021298,0.9474292316580012,0.944888023369036,0.9505103023300597,0.9462422187848876,0.002445825079887032,6,0.9570973040873514,0.9559122111573044,0.9556940619413442,0.9552354249250701,0.9559299126321379,0.9559737829486415,0.0006150498926399803
62.012035036087035,13.4120524967303,0.5933187961578369,0.07082303515906314,100,,l2,lbfgs,"{'C': 100, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9433816425120773,0.9426086956521739,0.9467797917470112,0.9449523439019646,0.9505293551491819,0.9456503657924819,0.00282723317944201,7,0.9590880548712747,0.957323549290335,0.955849676359772,0.9548904897742106,0.9553580056044062,0.9565019551799997,0.0015293029484195276
63.73191108703613,7.015413415286868,1.2989553451538085,1.3446433388971943,10,,l2,lbfgs,"{'C': 10, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9436155783762836,0.9431114551083591,0.9445514054678475,0.9453413732736822,0.9490874159462056,0.9451414456344756,0.002116975795135722,8,0.9587559161595672,0.9567486589668004,0.9573574153667842,0.9542882020026121,0.9572153734590283,0.9568731131909584,0.0014556024466013885
989.937150478363,51.08674631811223,1.4736793518066407,0.1775434842081999,10,,l1,liblinear,"{'C': 10, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.9437463754107868,0.9420654911838791,0.9446366782006921,0.9419103313840156,0.9479969183359014,0.9440711589030549,0.00221489331951743,9,0.9596672792339684,0.9591767718247258,0.9589795622553994,0.9583172147001934,0.9588326246617704,0.9589946905352115,0.00044068058112527403
339.7952214241028,23.676214360986993,0.8415917873382568,0.12646740194052092,10,,l2,liblinear,"{'C': 10, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.9431993817619784,0.9409486931268151,0.9440492213035955,0.9423001949317739,0.9489697669940305,0.9438934516236387,0.0027380666316407193,10,0.9594895098134004,0.9589292616930808,0.9594281298299846,0.9586656997824511,0.9590258987243911,0.9591076999686615,0.00031059616222147205
857.6936403274536,109.04137708761465,0.2705430507659912,0.10484540990320766,100,,l1,liblinear,"{'C': 100, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.9435639737147274,0.9407894736842105,0.9429175475687104,0.9422551697229808,0.947226502311248,0.9433505334003754,0.0021454611136901367,11,0.9596750797795184,0.9591728269797555,0.959450969020347,0.9584602737076261,0.9587743463341549,0.9591066991642803,0.00044142392781929175
352.0747751712799,35.98207592767366,0.4617900848388672,0.08532333426254449,100,,l2,liblinear,"{'C': 100, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.9419479267116683,0.9388308168795974,0.9427803379416283,0.9426900584795321,0.9478344562078922,0.9428167192440636,0.002892655143981526,12,0.9598181906097384,0.9590682839607597,0.9596213292117465,0.9591915675466589,0.9590643274853801,0.9593527397628566,0.00030946987295625404
