mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
89.3524537563324,3.237209632175271,15.775825548171998,1.3306683083811817,,5,71,"{'class_weight': None, 'max_depth': 5, 'n_estimators': 71}",0.9433378456778186,0.9447449768160742,0.9472874182377837,0.94579945799458,0.9490421455938697,0.9460423688640253,0.0019801760453718766,1,0.9525001203137783,0.9514123204473152,0.9506047901305961,0.9520637219406227,0.9514431894970558,0.9516048284658736,0.0006442660754015165
195.442050075531,1.5974704320259092,19.771433210372926,0.4664204495236257,,5,141,"{'class_weight': None, 'max_depth': 5, 'n_estimators': 141}",0.9427244582043344,0.9442192626906003,0.9476923076923077,0.9465147711913496,0.9482758620689655,0.9458853323695114,0.0021044191100954546,2,0.9526376588371197,0.9516968762051677,0.9511102548046818,0.95214664737096,0.9513513513513514,0.9517885577138561,0.0005493360827574629
112.1782127380371,1.3102795122765116,15.843962907791138,0.3487356164064883,,5,81,"{'class_weight': None, 'max_depth': 5, 'n_estimators': 81}",0.9433159218417488,0.9447663190421012,0.9472874182377837,0.945883262466177,0.9480743437440122,0.9458654530663646,0.001709368609623656,3,0.9525459620752719,0.9517567111668033,0.950541777028654,0.9523258058289905,0.9514066496163683,0.9517153811432175,0.000712299505255213
66.64866218566894,2.418735709409693,12.77356128692627,1.0912779236622716,,5,51,"{'class_weight': None, 'max_depth': 5, 'n_estimators': 51}",0.9427244582043344,0.9436075704905369,0.947652040030793,0.9462490332559939,0.9487818914252829,0.9458029986813882,0.0023146930311911426,4,0.9526744018102161,0.9516370123921115,0.9510819798544509,0.9517141477547079,0.9512230424084528,0.9516661168439878,0.0005580902415551814
36.292068767547605,2.2150490348169165,11.158891725540162,0.20771178045551653,,4,41,"{'class_weight': None, 'max_depth': 4, 'n_estimators': 41}",0.9428405347800813,0.9438115466306237,0.9478745912675515,0.9464941085570794,0.9476710753306498,0.9457383713131972,0.0020484154473292076,5,0.9495668912415784,0.9482766931790793,0.9479417719078377,0.9479924808406035,0.9475969889982628,0.9482749652334723,0.0006811083314991554
148.61547837257385,3.2339102663964674,18.271892786026,0.6898466080078741,,5,111,"{'class_weight': None, 'max_depth': 5, 'n_estimators': 111}",0.9431554524361949,0.9451949054419143,0.9467410113439723,0.9460869565217391,0.947489459563051,0.9457335570613743,0.0014939757649321966,6,0.9527888733817796,0.9518025833815308,0.950982280431433,0.952573937376369,0.9515171981282261,0.9519329745398677,0.000668892719623184
187.12869505882264,2.3302125274865277,20.383877897262572,0.8914189637783356,,5,131,"{'class_weight': None, 'max_depth': 5, 'n_estimators': 131}",0.942542077771329,0.9441977215678703,0.9471052125408732,0.9463527595522964,0.9482758620689655,0.9456947267002669,0.0020622782047048233,7,0.9525322549585982,0.9518943410777981,0.951069158158351,0.9523809523809523,0.9512595309333076,0.9518272475018014,0.000583973922374963
167.19751863479615,1.5426311791703575,17.435907459259035,0.4112102032926356,,5,121,"{'class_weight': None, 'max_depth': 5, 'n_estimators': 121}",0.9425643009089151,0.9446052885543331,0.946923076923077,0.9459459459459459,0.9482758620689655,0.9456628948802474,0.0019603872044048664,8,0.9526880685373249,0.9518438177874187,0.9510550149340014,0.9523809523809523,0.9513654347196757,0.9518666576718745,0.0006082310251443064
208.97647256851195,20.883415313611543,2.083931064605713,1.6233302388643787,,5,201,"{'class_weight': None, 'max_depth': 5, 'n_estimators': 201}",0.9427244582043344,0.9444015444015444,0.9468822170900693,0.9463113171108536,0.9479126771351972,0.9456464427883999,0.0018543343823075949,9,0.9528624392122875,0.9517886414039147,0.951334682470849,0.952821997105644,0.9514385016412434,0.9520492523667878,0.0006648235760001787
191.15756340026854,1.1673456240413962,18.62737407684326,0.3523731564059287,,4,171,"{'class_weight': None, 'max_depth': 4, 'n_estimators': 171}",0.9421551557361192,0.9452160493827161,0.9471458773784355,0.9466769706336939,0.9469856459330144,0.9456359398127958,0.0018696271818126298,10,0.9496465156543067,0.9491182422665511,0.9482808436867958,0.9487426534348203,0.9484854331468262,0.94885473763786,0.0004846957931335371
243.8045353412628,1.192853178288367,19.873472452163696,0.5551542706682948,,5,171,"{'class_weight': None, 'max_depth': 5, 'n_estimators': 171}",0.942542077771329,0.9442192626906003,0.9468822170900693,0.9460869565217391,0.9483154670750383,0.9456091962297553,0.0020254317947888023,11,0.9530550339448216,0.9517427565925854,0.9517294537045958,0.952399324813118,0.9516409266409266,0.9521134991392095,0.0005434058895342396
267.254487657547,2.751593689708229,19.876070928573608,1.4454190284317967,,5,181,"{'class_weight': None, 'max_depth': 5, 'n_estimators': 181}",0.942542077771329,0.9444015444015444,0.9470644850818094,0.94629057187017,0.9477311889718553,0.9456059736193415,0.0018947600509773847,12,0.953000096311278,0.9516922186867226,0.9514722182063515,0.9523487990739847,0.9515444015444016,0.9520115467645477,0.0005834448899836475
250.78845405578613,14.700967615299307,12.068514490127564,2.911747199421278,,5,191,"{'class_weight': None, 'max_depth': 5, 'n_estimators': 191}",0.9431114551083591,0.944015444015444,0.9464767038891028,0.94629057187017,0.9481141106643691,0.9456016571094888,0.0018038797778996921,13,0.9530046224961479,0.9516416759076226,0.9512383155054447,0.952537140652132,0.9515444015444016,0.9519932312211499,0.0006653851118369608
