mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
343.1205296993256,56.33071697596941,2.529809522628784,2.189407181982608,5,201,"{'max_depth': 5, 'n_estimators': 201}",0.8268232106570332,0.824618791203261,0.8239519754853942,0.8263033532753506,0.8267324241356752,0.8256859509513428,0.0011760231492484931,1,0.8278984483419048,0.8281157708210277,0.828458398744113,0.8292542036592869,0.8274233756773898,0.8282300394487445,0.0006123359730358546
427.7111674785614,15.164849884731899,12.093336534500121,3.0087666133560442,5,191,"{'max_depth': 5, 'n_estimators': 191}",0.8266766954995612,0.8244205652162971,0.8245865020204302,0.8257983404576313,0.8264708101717937,0.8255905826731427,0.0009353848004519723,2,0.8281136198106337,0.8277769049489395,0.8293138927926119,0.8292468527297272,0.8274039336811245,0.8283710407926075,0.0007759607684523825
385.561091709137,9.312896894191585,24.125398206710816,2.5638718284260293,5,161,"{'max_depth': 5, 'n_estimators': 161}",0.8268671679197995,0.8236567258084811,0.8239135895503642,0.8262521067592383,0.8271524178533689,0.8255684015782503,0.0014870280051599992,3,0.8282064486955648,0.8277474668745128,0.8284939214307244,0.8290936948590589,0.827325431670718,0.8281733927061159,0.0006084797689371373
418.80367131233214,13.169401777196974,25.30636558532715,4.092228283166337,5,171,"{'max_depth': 5, 'n_estimators': 171}",0.82663455266195,0.8238195912614518,0.8239935668693773,0.8259863123993558,0.8265170009815519,0.8253902048347372,0.0012321395946104637,4,0.8274049765506142,0.8279442824097355,0.8287608452720264,0.8292125232423739,0.8273973291121748,0.828143991317385,0.000730178087601455
363.73624258041383,9.037305277726452,22.8108108997345,2.348671713314918,5,151,"{'max_depth': 5, 'n_estimators': 151}",0.8266111849196601,0.8234079520560018,0.8234112032152725,0.8264192688691104,0.8265768031385172,0.8252852824397123,0.0015328738130003998,5,0.8280487575123872,0.8266606291586481,0.8279665115344275,0.828946129362354,0.8269097941704655,0.8277063643476563,0.0008306639588217975
460.16784591674804,7.970786795943773,22.72151074409485,2.066971690020894,5,181,"{'max_depth': 5, 'n_estimators': 181}",0.8267301905717152,0.8241570206341218,0.8232396843745288,0.8260552580637052,0.8258330816470352,0.8252030470582212,0.001296482842108357,6,0.8277451854829592,0.8278444901062579,0.8282462883412465,0.8286184458457905,0.827166152822168,0.8279241125196843,0.000489643450684479
342.76205267906187,4.01980906090395,22.377700757980346,1.2901796385645137,5,141,"{'max_depth': 5, 'n_estimators': 141}",0.8265597594587822,0.8235146022155085,0.8234909949511442,0.8252666532501509,0.8267102615694165,0.8251084542890004,0.0014038261510978633,7,0.8282209359265723,0.827115021998743,0.8278287077734522,0.8281824917431654,0.8269216282048063,0.8276537571293477,0.0005400200201548994
312.6073684692383,6.791438616933033,20.56523780822754,1.9242228831488124,5,131,"{'max_depth': 5, 'n_estimators': 131}",0.8272198837442373,0.8228571428571428,0.8222490323229277,0.8259502427489749,0.8271247830570717,0.8250802169460709,0.0021200487853977883,8,0.827967181624723,0.826345874496142,0.8277590083018299,0.828335719129059,0.8267812496073775,0.8274378066318263,0.0007500717517540848
296.4462589263916,11.683305362008824,21.041009664535522,1.4626903385274743,5,121,"{'max_depth': 5, 'n_estimators': 121}",0.8270329890704903,0.8221062977243517,0.8216602141887476,0.8247796524804835,0.8264325602455099,0.8244023427419165,0.002189773393826019,9,0.8275446243515181,0.8258216316875535,0.8271154909749108,0.8274215338213579,0.8265847282963856,0.8268976018263452,0.0006318576026071775
221.42261471748353,24.827226941393793,19.217504453659057,1.6156539748595238,5,91,"{'max_depth': 5, 'n_estimators': 91}",0.8260705953187326,0.8234106962663976,0.821641471942048,0.8244359387590653,0.8259480133866788,0.8243013431345844,0.0016569887626095344,10,0.8269536428001533,0.8245147801554215,0.8275840406083718,0.828086223903196,0.8256814966200283,0.8265640368174342,0.001302887880532951
259.7477695941925,9.636889001785736,22.464733362197876,2.117235667985949,5,111,"{'max_depth': 5, 'n_estimators': 111}",0.8264860797592175,0.8220497050965367,0.8206740442655935,0.8244032631684963,0.8258155457108337,0.8238857276001355,0.0022108713590453626,11,0.8269813146354029,0.8249162911306361,0.8267246744918553,0.8267748223605609,0.8259481740266922,0.8262690553290295,0.0007620548822595648
233.24957008361815,19.51358713495901,19.367558097839357,1.6401589919840567,5,101,"{'max_depth': 5, 'n_estimators': 101}",0.8256687178199171,0.8221369807702014,0.8210875464870842,0.824134021917118,0.8258506140527482,0.8237755762094137,0.0018936076328318874,12,0.8264497104665858,0.8244429609663321,0.8273720861536914,0.8267040807338526,0.825721418375496,0.8261380513391915,0.0009987268905266163
179.00410418510438,3.9046487815726345,19.01938486099243,2.3892784808591645,5,81,"{'max_depth': 5, 'n_estimators': 81}",0.8249416137214033,0.8225477096831119,0.8197901200392581,0.8240243871715416,0.8254790524568727,0.8233565766144375,0.002041425751164691,13,0.8258483818048109,0.8244565012147685,0.8264346426595585,0.827328817904221,0.8253223768177903,0.8258781440802299,0.0009741639176609317
128.9691164970398,2.974031254116366,11.17172031402588,1.18187029711588,5,61,"{'max_depth': 5, 'n_estimators': 61}",0.8248621553884712,0.8221170785725072,0.8215809284818067,0.8227192762000503,0.8237363079087529,0.8230031493103176,0.0011731873259849352,14,0.8259379667867498,0.824382124799799,0.8264243017267875,0.8261661121225438,0.8246177792282781,0.8255056569328316,0.0008387672379241832
