mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_auto_class_weights,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.8649256229400635,0.016065402735565483,0.11367053985595703,0.00562755447050305,Balanced,0.8,5,300,"{'auto_class_weights': 'Balanced', 'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 300}",0.9336367083807356,0.9333080712391058,0.9359047078842881,0.9352572621985951,0.9345653403733736,0.9345344180152196,0.0009706660840964387,1,0.9976404873116002,0.997112330349408,0.9975924499229584,0.9974005968999711,0.9975924499229584,0.9974676628813792,0.0001958422576016854
4.33961181640625,0.0539683897499336,0.11732926368713378,0.017654896663122262,Balanced,0.8,5,250,"{'auto_class_weights': 'Balanced', 'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 250}",0.9347990902198635,0.9325502084122774,0.9348687936567869,0.9340139913027037,0.9332830757632868,0.9339030318709837,0.0008902140498665738,2,0.9947664089883325,0.9943844492440604,0.9940027827088231,0.9940987381854819,0.9939074118493644,0.9942319581952125,0.0003112845885690766
4.306264448165893,0.05317580978938761,0.10740165710449219,0.010847147805318732,Balanced,0.5,5,250,"{'auto_class_weights': 'Balanced', 'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 250}",0.9325546345139413,0.9313264346190028,0.9324855058911539,0.9351188230856281,0.9359864839496903,0.9334943764118833,0.0017578585355766062,3,0.9869474085365854,0.9856327307326356,0.9858203273696231,0.9852108992343906,0.9861018562589243,0.9859426444264319,0.000579889353363623
4.861096715927124,0.06349354212005805,0.11248574256896973,0.011274874031828266,Balanced,0.5,5,300,"{'auto_class_weights': 'Balanced', 'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 300}",0.9318482159713045,0.9298377970577141,0.9344847005819411,0.9352708058124174,0.9350356740518213,0.9332954386950396,0.0021163448436069894,4,0.9915290739411342,0.9899182951884944,0.9900129019926411,0.9906291834002677,0.9911021814006888,0.9906383271846453,0.0006193992045529495
4.7977910995483395,0.028572008383910025,0.10468692779541015,0.008628496233922261,Balanced,0.1,5,300,"{'auto_class_weights': 'Balanced', 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.9323698350935705,0.9314412089937338,0.9302583025830258,0.9342957616139181,0.9374192357393392,0.9331568688047176,0.0025071675455479044,5,0.9567307692307693,0.9585475429577138,0.9568395244483509,0.9570648653650412,0.9553975436328378,0.9569160491269425,0.0010029917242482546
3.7376327991485594,0.023387528238233653,0.16482701301574706,0.12722149773741098,Balanced,0.5,5,200,"{'auto_class_weights': 'Balanced', 'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 200}",0.9320790216368767,0.9320570570570571,0.9318648497293262,0.9354656632173095,0.933233588928371,0.9329400361137882,0.0013521826227548103,6,0.9809194640405284,0.9798505344811276,0.9796671080007566,0.9797115157247577,0.9800842045508302,0.9800465653596,0.00046000936211909805
4.232310247421265,0.02914144974936457,0.10614938735961914,0.0076285033829109625,Balanced,0.5,4,300,"{'auto_class_weights': 'Balanced', 'learning_rate': 0.5, 'max_depth': 4, 'n_estimators': 300}",0.9279668986270453,0.9289454001495886,0.9351280613198729,0.9329829172141918,0.9388442117074995,0.9327734978036396,0.004004974917209829,7,0.9798524404086265,0.980548061905438,0.9793429449302765,0.9793911892607298,0.9803606076380673,0.9798990488286277,0.0004906321921203134
4.300587701797485,0.014737378480701847,0.10525326728820801,0.006871700858302149,Balanced,0.8,4,300,"{'auto_class_weights': 'Balanced', 'learning_rate': 0.8, 'max_depth': 4, 'n_estimators': 300}",0.9321712769988632,0.9304873441632037,0.9339853300733496,0.9304873441632037,0.9360498019241652,0.932636219464557,0.0021412214393303547,8,0.9891148668003438,0.988831615120275,0.9885956959488477,0.9885967841977193,0.9885956959488477,0.9887469316032067,0.00020534668101955834
3.7657967090606688,0.049797840773597876,0.10639839172363282,0.007041631760824861,Balanced,0.5,4,250,"{'auto_class_weights': 'Balanced', 'learning_rate': 0.5, 'max_depth': 4, 'n_estimators': 250}",0.9286786786786787,0.9310924369747899,0.9321654863958255,0.9347053320860618,0.9360432593697557,0.9325370387010224,0.0026117789686881747,9,0.9760211051962123,0.97560286360211,0.975145923554886,0.975561519988699,0.9762948301050944,0.9757252484894003,0.00039733030849188627
3.7560489654541014,0.0469817309916181,0.17883095741271973,0.14028893536909642,Balanced,0.8,5,200,"{'auto_class_weights': 'Balanced', 'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 200}",0.93267776096823,0.9322995461422088,0.9319548872180451,0.9311388573590617,0.9317797406502537,0.9319701584675599,0.0005170592283994031,10,0.9891148668003438,0.9887372339410136,0.9890204315447776,0.9891631259846279,0.9877002288329519,0.988747177420743,0.0005438890920468625
3.1423460960388185,0.04300866609332536,0.10179944038391113,0.008092279830273559,Balanced,0.5,5,150,"{'auto_class_weights': 'Balanced', 'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 150}",0.930834114339269,0.9305711086226204,0.9301285634432644,0.9336332958380202,0.9336563548266865,0.931764687413972,0.0015516185915875425,11,0.9744602793847891,0.9734455045354138,0.9739105908898604,0.9732650472207865,0.9734937494125387,0.9737150342886778,0.0004284236882143203
