mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
119.97274894714356,16.928646947602672,4.322997188568115,1.2939927273314589,2,l2,lbfgs,"{'C': 2, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8972429861178526,0.8967405791833273,0.8952763138809651,0.8921978235522736,0.8954948838562631,0.8953905173181363,0.001759064295339199,1,0.8964074325635553,0.8970046879453699,0.8977411884525383,0.8975398658108624,0.8972843905483944,0.897195513064144,0.0004651289610939651
135.98006243705748,33.508302961220856,7.062561416625977,3.6013937152990496,3,l2,lbfgs,"{'C': 3, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8972493086886916,0.8969811503610021,0.8950575490859851,0.8923824565666383,0.8952690414413541,0.8953879012287341,0.0017412201660705195,2,0.8966616949810227,0.89719660172097,0.8975077314899036,0.8975288582791735,0.8973561901991796,0.8972502153340498,0.0003176217117474341
111.847185754776,11.777787619989653,4.657314205169678,1.7272709814464446,10,l2,lbfgs,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8976809625460896,0.8967372860813497,0.8949824688671261,0.8922254616132167,0.8952385572561671,0.8953729472727898,0.001858254822429042,3,0.8965437788018433,0.8969193450576107,0.8976706398768022,0.8975409836065574,0.8970120210231509,0.8971373536731928,0.0004154223045528765
123.56247248649598,27.005851722977788,3.3956462383270263,1.8602930585656015,6,l2,lbfgs,"{'C': 6, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8974788284681274,0.8968692449355433,0.8952242775964212,0.8921709135958413,0.8950764006791172,0.8953639330550102,0.0018458763906085316,4,0.896300339640951,0.8970577534140248,0.8978238467600169,0.8976553596974032,0.8974268849915765,0.8972528369007945,0.0005410504959508499
137.52954506874084,28.808340725648478,3.243287229537964,0.8619945724119288,5,l2,lbfgs,"{'C': 5, 'penalty': 'l2', 'solver': 'lbfgs'}",0.897445228910401,0.8962691813531793,0.8954112470383444,0.8924788650276941,0.8952052967283487,0.8953619638115935,0.0016433057627114904,5,0.8965011218240252,0.8965793304221252,0.8977889331466021,0.8976699641159926,0.8973502911468337,0.8971779281311159,0.000540651744300699
197.69304447174073,86.46133858841287,8.082083702087402,3.07819292850744,1,l2,lbfgs,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8972125858179083,0.8966871046700434,0.8957648423902533,0.8920698957396651,0.8950190455394619,0.8953506948314663,0.0018054241294576476,6,0.896125404172455,0.8969210336399969,0.8976856088381987,0.8974397836880937,0.8971963749886339,0.8970736410654757,0.0005377863558030799
138.01056547164916,35.578035470225785,6.430336856842041,2.388577627612426,4,l2,lbfgs,"{'C': 4, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8971291285461208,0.8967288587351587,0.8952090739800237,0.8919188236723782,0.8956121212121212,0.8953196012291607,0.0018397536809576075,7,0.8965149273640045,0.8970293907157846,0.8975702022406519,0.897380402427417,0.8973185880927133,0.8971627021681142,0.00036746000426397433
133.6837971687317,24.65475244895696,4.353829431533813,1.5147090862520398,9,l2,lbfgs,"{'C': 9, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8970688149082792,0.896396287230691,0.8952979572102019,0.8923555425961024,0.8953558869892082,0.8952948977868965,0.0016126610704642395,8,0.8964772803075785,0.8970836112290063,0.8976867680221139,0.8975019549127412,0.8972501863715431,0.8971999601685965,0.00041629524149682694
4163.855442857743,663.3114040263323,5.025553798675537,2.2766933466089925,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8976679851488752,0.8962156658343232,0.8951823546483506,0.8921618665694495,0.8951096448670677,0.8952675034136133,0.0018076766512926785,9,0.8964827289318434,0.8967060692993043,0.8976114388973446,0.8974077555104144,0.897501015231503,0.897141801574082,0.0004570699128929973
130.68655939102172,13.102768882514136,4.238636493682861,1.794739428846853,7,l2,lbfgs,"{'C': 7, 'penalty': 'l2', 'solver': 'lbfgs'}",0.897244323694935,0.8963761968246273,0.89525237623044,0.8922037851364155,0.8952052967283487,0.8952563957229532,0.0017045158131099802,10,0.896668384515112,0.8967194522109885,0.8976473441668688,0.8975880609319213,0.8972397657983101,0.8971726015246402,0.0004152293891975244
3100.312982130051,495.21139002802795,4.060917806625366,2.279986199175785,5,l1,liblinear,"{'C': 5, 'penalty': 'l1', 'solver': 'liblinear'}",0.8976362665631219,0.8962858805275408,0.8951759158505622,0.8921394727250638,0.8949219982046243,0.8952319067741825,0.001819567713529735,11,0.896603151315271,0.896967859308672,0.8975958769137486,0.897273107638573,0.8972586961529602,0.897139738265845,0.00033390680317876755
145.9262496948242,19.755039924666217,5.078756380081177,1.6786344433256566,8,l2,lbfgs,"{'C': 8, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8972828723920427,0.8961989721710463,0.8954278391643898,0.8920206045291088,0.8950764006791172,0.895201337787141,0.0017613652028448021,12,0.8964555350050029,0.8966512807137789,0.8977021317864698,0.89741522006706,0.8970571298681619,0.8970562594880948,0.0004627920035725048
